Gender,Height,Weight,BMI Class,age,activity level,TDEE,target calories,recommended meals
Male,161,89,4,18,Sedentary,2173.5,1856.5,Meal Plan C
Male,179,127,4,21,Very Active,3948.09,3544.09,Meal Plan M
Male,172,139,5,33,Very Active,3976.12,3578.12,Meal Plan N
Male,153,104,5,23,Moderately Active,2923.69,2509.69,Meal Plan N
Male,165,68,2,39,Lightly Active,2091.72,1591.72,Meal Plan A
Male,172,92,4,39,Sedentary,2166,1816,Meal Plan D
Male,182,108,4,39,Lightly Active,2787.81,2466.81,Meal Plan L
Male,179,130,5,54,Very Active,3715.22,3245.22,Meal Plan N
Male,142,71,4,34,Moderately Active,2220.38,1792.38,Meal Plan G
Female,158,153,5,22,Lightly Active,3088.94,2595.94,Meal Plan O
Male,194,108,3,59,Sedentary,2403,1994,Meal Plan I
Female,178,107,4,33,Lightly Active,2552.69,2068.69,Meal Plan I
Male,155,57,2,33,Lightly Active,1895.78,1528.78,Meal Plan G
Female,151,64,3,46,Moderately Active,1848.76,1516.76,Meal Plan H
Female,181,80,2,35,Very Active,2751.81,2400.81,Meal Plan E
Female,147,126,5,27,Sedentary,2259.3,1885.3,Meal Plan D
Female,142,159,5,18,Sedentary,2671.8,2302.8,Meal Plan F
Male,165,155,5,28,Very Active,4219.78,3764.78,Meal Plan P
Female,146,104,5,36,Sedentary,1933.8,1620.8,Meal Plan H
Male,157,56,2,31,Moderately Active,2156.44,1808.44,Meal Plan I
Female,173,82,2,44,Lightly Active,2090.34,1608.34,Meal Plan B
Female,170,102,4,25,Very Active,3098.96,2701.96,Meal Plan O
Female,190,118,4,23,Lightly Active,2875.81,2443.81,Meal Plan K
Female,168,140,5,26,Moderately Active,3346.45,2970.45,Meal Plan P
Female,153,78,2,18,Very Active,2562.06,2211.06,Meal Plan E
Male,188,123,4,28,Very Active,3915.75,3586.75,Meal Plan O
Female,162,64,2,23,Moderately Active,2133.58,1771.58,Meal Plan G
Male,182,104,4,18,Moderately Active,3243.38,2817.38,Meal Plan P
Male,194,115,4,35,Sedentary,2631,2168,Meal Plan L
Female,185,102,3,21,Lightly Active,2626.59,2326.59,Meal Plan F
Male,178,52,1,32,Moderately Active,2290.12,2667.12,Meal Plan O
Female,192,90,2,18,Lightly Active,2542.38,2117.38,Meal Plan F
Male,147,142,5,22,Moderately Active,3462.31,3029.31,Meal Plan P
Male,152,103,5,25,Sedentary,2232,1806,Meal Plan C
Female,169,54,2,40,Very Active,2130.81,1765.81,Meal Plan G
Male,178,127,5,43,Sedentary,2607,2252,Meal Plan L
Male,165,105,4,22,Moderately Active,3063.19,2700.19,Meal Plan O
Female,172,67,2,30,Lightly Active,1971.75,1491.75,Meal Plan H
Male,140,129,5,23,Sedentary,2466,2062,Meal Plan C
Male,141,86,5,38,Lightly Active,2139.84,1709.84,Meal Plan A
Female,172,96,4,18,Lightly Active,2453,2089,Meal Plan J
Male,191,96,3,24,Sedentary,2446.5,2128.5,Meal Plan K
Female,147,107,5,29,Moderately Active,2608.26,2199.26,Meal Plan L
Male,197,119,4,23,Moderately Active,3582.44,3214.44,Meal Plan M
Female,162,159,5,40,Lightly Active,3082.06,2605.06,Meal Plan O
Male,173,139,5,22,Sedentary,2839.5,2423.5,Meal Plan E
Male,185,139,5,38,Sedentary,2833.5,2448.5,Meal Plan F
Female,152,90,4,19,Sedentary,1912.8,1609.8,Meal Plan H
Male,163,131,5,18,Very Active,3870.47,3397.47,Meal Plan P
Male,188,141,4,29,Sedentary,2934,2449,Meal Plan L
Male,189,104,3,43,Very Active,3469.41,3149.41,Meal Plan P
Female,165,57,2,25,Lightly Active,1808.47,1411.47,Meal Plan B
Male,185,76,2,21,Moderately Active,2815.19,2361.19,Meal Plan L
Female,157,110,5,18,Moderately Active,2836.89,2478.89,Meal Plan L
Male,179,56,1,50,Moderately Active,2222.31,2644.31,Meal Plan M
Female,186,143,5,29,Sedentary,2743.8,2381.8,Meal Plan L
Female,195,104,3,33,Moderately Active,2995.76,2588.76,Meal Plan P
Female,141,126,5,18,Sedentary,2268.3,1944.3,Meal Plan C
Male,148,141,5,18,Sedentary,2700,2252,Meal Plan K
Female,191,54,0,20,Moderately Active,2282.76,2754.76,Meal Plan M
Female,150,70,4,23,Very Active,2348.59,1939.59,Meal Plan C
Male,170,95,4,35,Lightly Active,2533.44,2109.44,Meal Plan K
Female,153,77,4,30,Very Active,2441.31,2051.31,Meal Plan D
Male,179,152,5,25,Sedentary,3022.5,2540.5,Meal Plan O
Male,184,157,5,18,Moderately Active,4084.25,3736.25,Meal Plan O
Male,154,112,5,20,Lightly Active,2732.81,2296.81,Meal Plan L
Male,190,95,3,22,Moderately Active,3150.38,2787.38,Meal Plan M
Male,154,111,5,35,Lightly Active,2615.94,2253.94,Meal Plan E
Male,182,50,0,41,Sedentary,1725,2220,Meal Plan L
Female,181,106,4,24,Sedentary,2292.3,1846.3,Meal Plan D
Male,144,80,4,30,Very Active,2682.38,2353.38,Meal Plan F
Male,168,160,5,27,Sedentary,3024,2668,Meal Plan O
Female,179,150,5,36,Very Active,3929.12,3431.12,Meal Plan M
Male,144,108,5,34,Moderately Active,2813.25,2486.25,Meal Plan L
Female,177,96,4,35,Very Active,2984.68,2645.68,Meal Plan M
Female,185,119,4,29,Sedentary,2448.3,1967.3,Meal Plan I
Female,163,63,2,22,Lightly Active,1894.41,1412.41,Meal Plan H
Male,177,117,4,26,Moderately Active,3334.44,3002.44,Meal Plan O
Male,140,79,5,40,Lightly Active,2021.25,1562.25,Meal Plan A
Female,147,67,4,29,Moderately Active,1988.26,1604.26,Meal Plan B
Female,167,58,2,37,Lightly Active,1756.91,1257.91,Meal Plan H
Male,145,108,5,46,Very Active,3038.16,2659.16,Meal Plan P
Male,193,130,4,22,Very Active,4142.16,3657.16,Meal Plan O
Female,187,94,3,23,Lightly Active,2520.03,2190.03,Meal Plan E
Female,183,79,2,21,Sedentary,2001.3,1682.3,Meal Plan G
Female,167,85,4,18,Moderately Active,2546.26,2158.26,Meal Plan K
Male,141,80,5,24,Very Active,2701.78,2311.78,Meal Plan L
Female,168,59,2,32,Sedentary,1582.8,1185.8,Meal Plan B
Female,150,84,4,18,Sedentary,1831.8,1462.8,Meal Plan G
Female,151,67,3,26,Very Active,2281.74,1887.74,Meal Plan I
Female,170,53,1,41,Moderately Active,1901.08,2313.07,Meal Plan L
Female,150,144,5,24,Sedentary,2515.8,2034.8,Meal Plan J
Female,195,104,3,18,Lightly Active,2760.66,2328.66,Meal Plan F
Female,187,121,4,24,Very Active,3618.62,3123.62,Meal Plan P
Male,149,66,3,45,Lightly Active,1885.47,1448.47,Meal Plan G
Female,188,90,3,36,Lightly Active,2384.25,1918.25,Meal Plan J
Male,197,125,4,21,Moderately Active,3690.94,3277.94,Meal Plan P
Female,194,111,3,32,Moderately Active,3102.33,2732.33,Meal Plan P
Female,150,60,3,18,Very Active,2219.21,1721.21,Meal Plan G
Female,186,127,4,43,Very Active,3547.46,3161.46,Meal Plan P
Male,145,142,5,38,Sedentary,2569.5,2219.5,Meal Plan L
Male,186,118,4,18,Very Active,3894.19,3400.19,Meal Plan M
Male,151,114,5,38,Sedentary,2278.5,1886.5,Meal Plan J
Male,181,78,2,41,Moderately Active,2652.44,2177.44,Meal Plan L
Female,182,143,5,18,Very Active,3995.96,3595.96,Meal Plan N
Male,193,151,5,26,Very Active,4469.91,3970.91,Meal Plan O
Female,171,120,5,18,Sedentary,2421.3,2076.3,Meal Plan I
Female,185,100,3,36,Very Active,3131.31,2678.31,Meal Plan M
Female,151,55,2,37,Very Active,1979.87,1672.87,Meal Plan A
Female,180,58,1,18,Moderately Active,2253.7,2615.7,Meal Plan N
Male,153,70,3,42,Very Active,2503.41,2167.41,Meal Plan F
Female,176,156,5,42,Very Active,3948.53,3562.53,Meal Plan M
Male,171,147,5,35,Lightly Active,3257.03,2785.03,Meal Plan O
