Gender,Height,Weight,BMI Class,age,activity level,TDEE,target calories,recommended meals
Male,161,89,4,18,Lightly Active,2490.47,2090.47,Medium Calorie
Male,179,127,4,21,Moderately Active,3547.56,3147.56,High Calorie
Male,172,139,5,33,Very Active,3976.12,3476.12,High Calorie
Male,153,104,5,23,Moderately Active,2923.69,2423.69,Medium Calorie
Male,165,68,2,39,Very Active,2624.16,2624.16,High Calorie
Male,172,92,4,39,Very Active,3113.62,2713.62,High Calorie
Male,182,108,4,39,Very Active,3497.44,3097.44,High Calorie
Male,179,130,5,54,Sedentary,2584.5,2084.5,Medium Calorie
Male,142,71,4,34,Lightly Active,1969.69,1569.69,Low Calorie
Female,158,153,5,22,Lightly Active,3088.94,2588.94,High Calorie
Male,194,108,3,59,Sedentary,2403.0,2103.0,Medium Calorie
Female,178,107,4,33,Lightly Active,2552.69,2152.69,Medium Calorie
Male,155,57,2,33,Moderately Active,2137.06,2137.06,Medium Calorie
Female,151,64,3,46,Moderately Active,1848.76,1548.76,Low Calorie
Female,181,80,2,35,Moderately Active,2472.64,2472.64,Medium Calorie
Female,147,126,5,27,Very Active,3247.74,2747.74,High Calorie
Female,142,159,5,18,Sedentary,2671.8,2171.8,Medium Calorie
Male,165,155,5,28,Very Active,4219.78,3719.78,High Calorie
Female,146,104,5,36,Lightly Active,2215.81,1715.81,Low Calorie
Male,157,56,2,31,Lightly Active,1912.97,1912.97,Low Calorie
Female,173,82,2,44,Moderately Active,2356.39,2356.39,Medium Calorie
Female,170,102,4,25,Lightly Active,2470.19,2070.19,Medium Calorie
Female,190,118,4,23,Moderately Active,3241.83,2841.83,High Calorie
Female,168,140,5,26,Lightly Active,2968.62,2468.62,Medium Calorie
Female,153,78,2,18,Sedentary,1782.3,1782.3,Low Calorie
Male,188,123,4,28,Very Active,3915.75,3515.75,High Calorie
Female,162,64,2,23,Moderately Active,2133.58,2133.58,Medium Calorie
Male,182,104,4,18,Lightly Active,2877.19,2477.19,Medium Calorie
Male,194,115,4,35,Moderately Active,3398.38,2998.38,High Calorie
Female,185,102,3,21,Sedentary,2292.3,1992.3,Low Calorie
Male,178,52,1,32,Moderately Active,2290.12,2590.12,High Calorie
Female,192,90,2,18,Lightly Active,2542.38,2542.38,High Calorie
Male,147,142,5,22,Moderately Active,3462.31,2962.31,High Calorie
Male,152,103,5,25,Moderately Active,2883.0,2383.0,Medium Calorie
Female,169,54,2,40,Lightly Active,1698.47,1698.47,Low Calorie
Male,178,127,5,43,Sedentary,2607.0,2107.0,Medium Calorie
Male,165,105,4,22,Lightly Active,2717.34,2317.34,Medium Calorie
Female,172,67,2,30,Moderately Active,2222.7,2222.7,Medium Calorie
Male,140,129,5,23,Lightly Active,2825.62,2325.62,Medium Calorie
Male,141,86,5,38,Very Active,2684.53,2184.53,Medium Calorie
Female,172,96,4,18,Sedentary,2140.8,1740.8,Low Calorie
Male,191,96,3,24,Very Active,3516.84,3216.84,High Calorie
Female,147,107,5,29,Sedentary,2019.3,1519.3,Low Calorie
Male,197,119,4,23,Very Active,3986.91,3586.91,High Calorie
Female,162,159,5,40,Moderately Active,3474.33,2974.33,High Calorie
Male,173,139,5,22,Lightly Active,3253.59,2753.59,High Calorie
Male,185,139,5,38,Lightly Active,3246.72,2746.72,High Calorie
Female,152,90,4,19,Lightly Active,2191.75,1791.75,Low Calorie
Male,163,131,5,18,Very Active,3870.47,3370.47,High Calorie
Male,188,141,4,29,Sedentary,2934.0,2534.0,High Calorie
Male,189,104,3,43,Lightly Active,2765.47,2465.47,Medium Calorie
Female,165,57,2,25,Sedentary,1578.3,1578.3,Low Calorie
Male,185,76,2,21,Lightly Active,2497.34,2497.34,Medium Calorie
Female,157,110,5,18,Sedentary,2196.3,1696.3,Low Calorie
Male,179,56,1,50,Sedentary,1720.5,2020.5,Medium Calorie
Female,186,143,5,29,Sedentary,2743.8,2243.8,Medium Calorie
Female,195,104,3,33,Lightly Active,2657.53,2357.53,Medium Calorie
Female,141,126,5,18,Very Active,3260.68,2760.68,High Calorie
Male,148,141,5,18,Moderately Active,3487.5,2987.5,High Calorie
Female,191,54,0,20,Moderately Active,2282.76,2782.76,High Calorie
Female,150,70,4,23,Lightly Active,1872.06,1472.06,Low Calorie
Male,170,95,4,35,Lightly Active,2533.44,2133.44,Medium Calorie
Female,153,77,4,30,Sedentary,1698.3,1298.3,Low Calorie
Male,179,152,5,25,Lightly Active,3463.28,2963.28,High Calorie
Male,184,157,5,18,Moderately Active,4084.25,3584.25,High Calorie
Male,154,112,5,20,Moderately Active,3080.62,2580.62,High Calorie
Male,190,95,3,22,Very Active,3506.06,3206.06,High Calorie
Male,154,111,5,35,Sedentary,2283.0,1783.0,Low Calorie
Male,182,50,0,41,Lightly Active,1976.56,2476.56,Medium Calorie
Female,181,106,4,24,Sedentary,2292.3,1892.3,Low Calorie
Male,144,80,4,30,Lightly Active,2138.12,1738.12,Low Calorie
Male,168,160,5,27,Very Active,4347.0,3847.0,High Calorie
Female,179,150,5,36,Very Active,3929.12,3429.12,High Calorie
Male,144,108,5,34,Sedentary,2178.0,1678.0,Low Calorie
Female,177,96,4,35,Sedentary,2076.3,1676.3,Low Calorie
Female,185,119,4,29,Very Active,3519.43,3119.43,High Calorie
Female,163,63,2,22,Very Active,2376.62,2376.62,Medium Calorie
Male,177,117,4,26,Moderately Active,3334.44,2934.44,High Calorie
Male,140,79,5,40,Lightly Active,2021.25,1521.25,Low Calorie
Female,147,67,4,29,Lightly Active,1763.78,1363.78,Low Calorie
Female,167,58,2,37,Sedentary,1533.3,1533.3,Low Calorie
Male,145,108,5,46,Very Active,3038.16,2538.16,High Calorie
Male,193,130,4,22,Sedentary,2881.5,2481.5,Medium Calorie
Female,187,94,3,23,Sedentary,2199.3,1899.3,Low Calorie
Female,183,79,2,21,Moderately Active,2585.01,2585.01,High Calorie
Female,167,85,4,18,Sedentary,1971.3,1571.3,Low Calorie
Male,141,80,5,24,Very Active,2701.78,2201.78,Medium Calorie
Female,168,59,2,32,Lightly Active,1813.62,1813.62,Low Calorie
Female,150,84,4,18,Very Active,2633.21,2233.21,Medium Calorie
Female,151,67,3,26,Moderately Active,2050.26,1750.26,Low Calorie
Female,170,53,1,41,Sedentary,1471.8,1771.8,Low Calorie
Female,150,144,5,24,Sedentary,2515.8,2015.8,Medium Calorie
Female,195,104,3,18,Very Active,3463.37,3163.37,High Calorie
Female,187,121,4,24,Very Active,3618.62,3218.62,High Calorie
Male,149,66,3,45,Very Active,2365.41,2065.41,Medium Calorie
Female,188,90,3,36,Sedentary,2080.8,1780.8,Low Calorie
Male,197,125,4,21,Very Active,4107.66,3707.66,High Calorie
Female,194,111,3,32,Very Active,3452.59,3152.59,High Calorie
Female,150,60,3,18,Sedentary,1543.8,1243.8,Low Calorie
Female,186,127,4,43,Moderately Active,3187.58,2787.58,High Calorie
Male,145,142,5,38,Sedentary,2569.5,2069.5,Medium Calorie
Male,186,118,4,18,Sedentary,2709.0,2309.0,Medium Calorie
Male,151,114,5,38,Moderately Active,2943.06,2443.06,Medium Calorie
Male,181,78,2,41,Very Active,2951.91,2951.91,High Calorie
Female,182,143,5,18,Moderately Active,3590.58,3090.58,High Calorie
Male,193,151,5,26,Moderately Active,4016.44,3516.44,High Calorie
Female,171,120,5,18,Very Active,3480.62,2980.62,High Calorie
Female,185,100,3,36,Moderately Active,2813.64,2513.64,High Calorie
Female,151,55,2,37,Lightly Active,1578.16,1578.16,Low Calorie
Female,180,58,1,18,Lightly Active,1999.25,2299.25,Medium Calorie
Male,153,70,3,42,Lightly Active,1995.47,1695.47,Low Calorie
Female,176,156,5,42,Very Active,3948.53,3448.53,High Calorie
Male,171,147,5,35,Very Active,4086.09,3586.09,High Calorie
Male,151,82,4,36,Very Active,2740.59,2340.59,Medium Calorie
Female,162,58,2,21,Moderately Active,2056.08,2056.08,Medium Calorie
Male,190,50,0,26,Very Active,2695.31,3195.31,High Calorie
Male,163,137,5,31,Moderately Active,3470.06,2970.06,High Calorie
Female,155,144,5,18,Sedentary,2589.3,2089.3,Medium Calorie
Male,184,153,5,18,Sedentary,3114.0,2614.0,High Calorie
Male,145,78,4,25,Moderately Active,2427.69,2027.69,Medium Calorie
Male,177,117,4,26,Very Active,3710.91,3310.91,High Calorie
Male,178,83,3,33,Lightly Active,2450.94,2150.94,Medium Calorie
Female,197,114,3,18,Sedentary,2544.3,2244.3,Medium Calorie
Male,157,74,4,48,Moderately Active,2303.69,1903.69,Low Calorie
Male,159,124,5,18,Sedentary,2578.5,2078.5,Medium Calorie
Female,184,152,5,23,Moderately Active,3710.7,3210.7,High Calorie
Female,183,50,0,34,Very Active,2264.49,2764.49,High Calorie
Female,166,153,5,18,Very Active,3995.96,3495.96,High Calorie
Male,150,74,4,49,Moderately Active,2228.12,1828.12,Low Calorie
Male,143,88,5,38,Moderately Active,2462.56,1962.56,Low Calorie
Female,146,157,5,18,Lightly Active,3068.31,2568.31,High Calorie
Female,185,140,5,50,Sedentary,2574.3,2074.3,Medium Calorie
Female,153,133,5,18,Lightly Active,2798.47,2298.47,Medium Calorie
Male,147,92,5,37,Moderately Active,2571.06,2071.06,Medium Calorie
Female,193,61,1,19,Lightly Active,2145.34,2445.34,Medium Calorie
Female,191,68,2,25,Sedentary,1905.3,1905.3,Low Calorie
Female,189,125,4,26,Sedentary,2568.3,2168.3,Medium Calorie
Female,187,102,3,37,Very Active,3178.74,2878.74,High Calorie
Female,196,50,0,20,Moderately Active,2269.2,2769.2,High Calorie
Female,181,94,3,29,Lightly Active,2427.22,2127.22,Medium Calorie
Female,183,87,3,19,Moderately Active,2724.51,2424.51,Medium Calorie
Female,192,108,3,47,Very Active,3249.9,2949.9,High Calorie
Male,159,145,5,35,Sedentary,2728.5,2228.5,Medium Calorie
Male,195,81,2,25,Very Active,3292.59,3292.59,High Calorie
Male,159,120,5,35,Moderately Active,3136.81,2636.81,High Calorie
Female,198,145,4,44,Lightly Active,3171.44,2771.44,High Calorie
Female,166,140,5,40,Lightly Active,2855.19,2355.19,Medium Calorie
Female,171,152,5,31,Moderately Active,3522.76,3022.76,High Calorie
Female,180,60,2,31,Lightly Active,1937.38,1937.38,Low Calorie
Female,156,106,5,25,Lightly Active,2404.88,1904.88,Low Calorie
Male,198,109,3,28,Moderately Active,3398.38,3098.38,High Calorie
Female,169,88,2,45,Moderately Active,2402.89,2402.89,Medium Calorie
Female,167,79,3,29,Lightly Active,2100.66,1800.66,Low Calorie
Female,166,144,5,25,Very Active,3780.34,3280.34,High Calorie
Female,140,76,4,31,Very Active,2275.28,1875.28,Low Calorie
Female,152,114,5,18,Very Active,3172.28,2672.28,High Calorie
Male,194,106,3,25,Sedentary,2583.0,2283.0,Medium Calorie
Female,183,76,2,37,Sedentary,1869.3,1869.3,Low Calorie
Female,140,146,5,27,Sedentary,2446.8,1946.8,Low Calorie
Female,176,121,4,18,Moderately Active,3191.45,2791.45,High Calorie
Male,178,160,5,22,Moderately Active,4041.62,3541.62,High Calorie
Female,184,160,5,22,Moderately Active,3842.45,3342.45,High Calorie
Male,142,131,5,18,Moderately Active,3274.38,2774.38,High Calorie
Male,142,69,4,42,Moderately Active,2127.38,1727.38,Low Calorie
Male,163,123,5,23,Moderately Active,3315.06,2815.06,High Calorie
Female,146,110,5,40,Sedentary,1981.8,1481.8,Low Calorie
Male,143,149,5,22,Moderately Active,3532.06,3032.06,High Calorie
Male,160,139,5,30,Sedentary,2694.0,2194.0,Medium Calorie
Male,165,143,5,31,Sedentary,2773.5,2273.5,Medium Calorie
Male,187,138,4,23,Sedentary,2926.5,2526.5,High Calorie
Male,180,73,2,32,Lightly Active,2337.5,2337.5,Medium Calorie
Female,156,89,4,52,Lightly Active,1985.5,1585.5,Low Calorie
Male,182,98,3,25,Moderately Active,3096.12,2796.12,High Calorie
Male,188,114,4,24,Sedentary,2640.0,2240.0,Medium Calorie
Female,187,92,3,26,Lightly Active,2471.91,2171.91,Medium Calorie
Male,197,88,2,28,Lightly Active,2717.34,2717.34,High Calorie
Male,146,138,5,30,Lightly Active,2952.81,2452.81,Medium Calorie
Female,164,71,3,27,Lightly Active,1978.62,1678.62,Low Calorie
Female,192,139,4,36,Very Active,3879.53,3479.53,High Calorie
Male,158,96,4,28,Sedentary,2175.0,1775.0,Low Calorie
Male,188,81,2,37,Very Active,3113.62,3113.62,High Calorie
Male,178,140,5,42,Moderately Active,3576.62,3076.62,High Calorie
Male,162,130,5,28,Lightly Active,2994.06,2494.06,Medium Calorie
Male,159,109,5,32,Lightly Active,2652.03,2152.03,Medium Calorie
Male,154,54,2,24,Very Active,2393.44,2393.44,Medium Calorie
Female,195,61,1,19,Very Active,2712.99,3012.99,High Calorie
Male,149,100,5,65,Very Active,2779.41,2279.41,Medium Calorie
Female,186,128,4,37,Lightly Active,2882.69,2482.69,Medium Calorie
Male,142,91,5,32,Moderately Active,2545.88,2045.88,Medium Calorie
Male,183,105,3,26,Lightly Active,2844.53,2544.53,High Calorie
Male,174,90,3,31,Very Active,3169.69,2869.69,High Calorie
Female,168,143,5,20,Sedentary,2662.8,2162.8,Medium Calorie
Male,187,96,3,26,Moderately Active,3105.81,2805.81,High Calorie
Female,155,71,3,18,Very Active,2462.87,2162.87,Medium Calorie
Male,190,135,4,21,Very Active,4204.69,3804.69,High Calorie
Male,188,100,3,33,Very Active,3475.88,3175.88,High Calorie
Male,144,88,5,18,Moderately Active,2627.25,2127.25,Medium Calorie
Female,150,97,5,36,Sedentary,1879.8,1379.8,Low Calorie
Male,187,80,2,40,Lightly Active,2438.91,2438.91,Medium Calorie
Female,172,108,4,22,Lightly Active,2590.5,2190.5,Medium Calorie
Female,186,146,5,34,Very Active,3952.84,3452.84,High Calorie
Female,177,81,3,24,Very Active,2820.81,2520.81,High Calorie
Female,180,156,5,34,Moderately Active,3648.7,3148.7,High Calorie
Female,172,111,4,42,Sedentary,2176.8,1776.8,Low Calorie
Female,190,156,5,19,Very Active,4297.84,3797.84,High Calorie
Female,177,117,4,45,Very Active,3260.68,2860.68,High Calorie
Female,169,145,5,33,Moderately Active,3379.39,2879.39,High Calorie
Female,184,86,3,21,Lightly Active,2398.0,2098.0,Medium Calorie
Male,148,60,3,36,Very Active,2328.75,2028.75,Medium Calorie
Female,168,87,4,21,Moderately Active,2563.7,2163.7,Medium Calorie
Female,157,60,2,27,Lightly Active,1767.22,1767.22,Low Calorie
Male,188,54,0,34,Moderately Active,2402.5,2902.5,High Calorie
Male,182,70,2,61,Lightly Active,2114.06,2114.06,Medium Calorie
Male,169,136,5,28,Very Active,3935.16,3435.16,High Calorie
Female,145,79,4,35,Sedentary,1632.3,1232.3,Low Calorie
Male,181,139,4,32,Sedentary,2839.5,2439.5,Medium Calorie
Female,177,101,4,37,Moderately Active,2743.89,2343.89,Medium Calorie
Male,159,154,5,18,Very Active,4224.09,3724.09,High Calorie
Male,151,62,3,18,Lightly Active,2033.28,1733.28,Low Calorie
Female,148,54,2,44,Sedentary,1300.8,1300.8,Low Calorie
Female,167,110,4,29,Very Active,3170.12,2770.12,High Calorie
Female,169,121,5,31,Lightly Active,2681.59,2181.59,Medium Calorie
Female,182,126,4,33,Very Active,3573.34,3173.34,High Calorie
Male,179,123,4,18,Very Active,3904.97,3504.97,High Calorie
Female,179,158,5,35,Very Active,4075.74,3575.74,High Calorie
Male,166,107,4,31,Lightly Active,2691.56,2291.56,Medium Calorie
Male,198,50,0,18,Moderately Active,2561.38,3061.38,High Calorie
Male,191,62,1,28,Sedentary,2014.5,2314.5,Medium Calorie
Female,167,135,5,18,Very Active,3696.24,3196.24,High Calorie
Male,151,154,5,51,Moderately Active,3462.31,2962.31,High Calorie
Male,181,105,4,18,Moderately Active,3249.19,2849.19,High Calorie
Female,192,101,3,28,Sedentary,2290.8,1990.8,Low Calorie
Female,189,132,4,35,Sedentary,2598.3,2198.3,Medium Calorie
Female,163,159,5,34,Very Active,3929.12,3429.12,High Calorie
Male,187,136,4,27,Sedentary,2878.5,2478.5,Medium Calorie
Male,180,149,5,25,Sedentary,2994.0,2494.0,Medium Calorie
Female,149,61,3,44,Sedentary,1392.3,1092.3,Low Calorie
Female,154,92,4,29,Very Active,2719.46,2319.46,Medium Calorie
Male,183,138,5,20,Sedentary,2914.5,2414.5,Medium Calorie
Female,170,156,5,29,Lightly Active,3185.19,2685.19,High Calorie
Female,176,54,1,36,Lightly Active,1786.12,2086.12,Medium Calorie
Male,178,85,3,54,Sedentary,2037.0,1737.0,Low Calorie
Female,188,115,4,18,Sedentary,2488.8,2088.8,Medium Calorie
Female,154,96,5,18,Lightly Active,2298.31,1798.31,Low Calorie
Female,166,126,5,21,Moderately Active,3148.83,2648.83,High Calorie
Female,149,108,5,23,Sedentary,2082.3,1582.3,Low Calorie
Male,150,95,5,34,Very Active,2971.31,2471.31,Medium Calorie
Male,140,146,5,23,Very Active,3838.12,3338.12,High Calorie
Male,145,99,5,35,Moderately Active,2675.69,2175.69,Medium Calorie
Female,147,94,5,58,Very Active,2428.37,1928.37,Low Calorie
Male,183,147,5,22,Very Active,4327.59,3827.59,High Calorie
Male,181,154,5,37,Moderately Active,3861.44,3361.44,High Calorie
Male,149,61,3,26,Moderately Active,2195.19,1895.19,Low Calorie
Female,172,109,4,43,Moderately Active,2772.95,2372.95,Medium Calorie
Female,146,101,5,26,Sedentary,1957.8,1457.8,Low Calorie
Male,199,156,4,23,Very Active,4646.72,4246.72,High Calorie
Male,166,70,3,42,Very Active,2643.56,2343.56,Medium Calorie
Female,165,95,4,24,Moderately Active,2635.39,2235.39,Medium Calorie
Female,196,159,5,33,Moderately Active,3857.95,3357.95,High Calorie
Male,174,138,5,23,Lightly Active,3241.56,2741.56,High Calorie
Male,195,69,1,39,Moderately Active,2664.06,2964.06,High Calorie
Female,162,68,3,29,Lightly Active,1906.44,1606.44,Low Calorie
Female,171,131,5,26,Lightly Active,2870.66,2370.66,Medium Calorie
Female,141,143,5,28,Sedentary,2412.3,1912.3,Low Calorie
Male,181,111,4,33,Sedentary,2497.5,2097.5,Medium Calorie
Female,195,65,1,25,Very Active,2730.24,3030.24,High Calorie
Male,154,145,5,18,Moderately Active,3607.62,3107.62,High Calorie
Female,167,85,4,26,Sedentary,1923.3,1523.3,Low Calorie
Male,184,57,1,18,Very Active,2820.38,3120.38,High Calorie
Male,146,70,4,37,Moderately Active,2220.38,1820.38,Low Calorie
Male,187,62,1,29,Moderately Active,2555.56,2855.56,High Calorie
Male,174,54,1,35,Very Active,2514.19,2814.19,High Calorie
Female,186,137,4,18,Sedentary,2737.8,2337.8,Medium Calorie
Male,159,104,5,43,Sedentary,2188.5,1688.5,Low Calorie
Female,156,52,2,27,Moderately Active,1858.45,1858.45,Low Calorie
Male,192,101,3,32,Lightly Active,2825.62,2525.62,High Calorie
Female,180,59,1,18,Lightly Active,2013.0,2313.0,Medium Calorie
Male,171,147,5,41,Sedentary,2806.5,2306.5,Medium Calorie
Male,193,54,0,42,Very Active,2658.66,3158.66,High Calorie
Female,183,150,5,31,Moderately Active,3608.01,3108.01,High Calorie
Male,182,151,5,38,Sedentary,2955.0,2455.0,Medium Calorie
Female,164,142,5,25,Sedentary,2590.8,2090.8,Medium Calorie
Male,174,90,3,36,Very Active,3126.56,2826.56,High Calorie
Female,199,92,2,43,Lightly Active,2458.16,2458.16,Medium Calorie
Female,145,141,5,35,Lightly Active,2722.84,2222.84,Medium Calorie
Male,175,135,5,28,Sedentary,2770.5,2270.5,Medium Calorie
Female,186,140,5,32,Lightly Active,3082.06,2582.06,High Calorie
Male,191,79,2,44,Lightly Active,2432.03,2432.03,Medium Calorie
Female,182,84,3,18,Lightly Active,2373.94,2073.94,Medium Calorie
Female,175,120,4,43,Moderately Active,2972.51,2572.51,High Calorie
Male,176,87,3,39,Sedentary,2136.0,1836.0,Low Calorie
Male,161,115,5,30,Very Active,3469.41,2969.41,High Calorie
Male,169,110,4,27,Sedentary,2431.5,2031.5,Medium Calorie
Female,143,118,5,41,Sedentary,2049.3,1549.3,Low Calorie
Male,188,57,1,33,Very Active,2734.12,3034.12,High Calorie
Male,165,62,2,33,Sedentary,1789.5,1789.5,Low Calorie
Female,178,79,2,36,Moderately Active,2420.33,2420.33,Medium Calorie
Female,164,126,5,29,Moderately Active,3067.45,2567.45,High Calorie
Male,181,141,5,18,Lightly Active,3377.34,2877.34,High Calorie
Female,196,122,4,46,Very Active,3543.15,3143.15,High Calorie
Female,153,146,5,59,Very Active,3381.43,2881.43,High Calorie
Male,160,156,5,51,Very Active,3984.75,3484.75,High Calorie
Female,175,83,2,35,Moderately Active,2461.01,2461.01,Medium Calorie
Male,140,143,5,24,Sedentary,2628.0,2128.0,Medium Calorie
Male,198,136,4,18,Lightly Active,3454.69,3054.69,High Calorie
Female,160,109,5,24,Moderately Active,2803.95,2303.95,Medium Calorie
Male,179,110,4,20,Moderately Active,3291.81,2891.81,High Calorie
Male,184,83,2,23,Sedentary,2244.0,2244.0,Medium Calorie
Male,168,50,1,20,Very Active,2509.88,2809.88,High Calorie
Male,179,93,3,18,Very Active,3387.47,3087.47,High Calorie
Female,184,76,2,28,Moderately Active,2493.95,2493.95,Medium Calorie
Male,161,118,5,29,Moderately Active,3171.69,2671.69,High Calorie
Female,142,86,5,18,Moderately Active,2319.58,1819.58,Low Calorie
Male,174,107,4,37,Moderately Active,3065.12,2665.12,High Calorie
Male,141,85,5,30,Moderately Active,2458.69,1958.69,Low Calorie
Male,171,141,5,45,Lightly Active,3105.78,2605.78,High Calorie
Female,184,132,4,27,Lightly Active,2989.25,2589.25,High Calorie
Male,195,126,4,22,Sedentary,2848.5,2448.5,Medium Calorie
Male,172,105,4,27,Moderately Active,3092.25,2692.25,High Calorie
Female,150,50,2,25,Sedentary,1381.8,1381.8,Low Calorie
Male,189,87,2,18,Lightly Active,2703.59,2703.59,High Calorie
Male,182,73,2,26,Lightly Active,2395.94,2395.94,Medium Calorie
Female,142,86,5,39,Lightly Active,1913.31,1413.31,Low Calorie
Male,140,152,5,20,Lightly Active,3162.5,2662.5,High Calorie
Female,177,61,2,18,Lightly Active,2014.72,2014.72,Medium Calorie
Male,164,75,3,18,Sedentary,2028.0,1728.0,Low Calorie
Female,150,87,4,28,Sedentary,1807.8,1407.8,Low Calorie
Female,157,153,5,23,Sedentary,2682.3,2182.3,Medium Calorie
Female,157,52,2,26,Lightly Active,1664.09,1664.09,Low Calorie
Female,187,130,4,35,Lightly Active,2932.53,2532.53,High Calorie
Female,185,94,3,21,Sedentary,2196.3,1896.3,Low Calorie
Female,183,96,3,21,Moderately Active,2848.51,2548.51,High Calorie
Female,161,145,5,23,Sedentary,2616.3,2116.3,Medium Calorie
Male,195,153,5,31,Sedentary,3118.5,2618.5,High Calorie
Male,163,110,5,50,Very Active,3232.22,2732.22,High Calorie
Female,184,106,4,33,Very Active,3249.9,2849.9,High Calorie
Male,147,84,4,18,Very Active,2887.22,2487.22,Medium Calorie
Male,166,61,2,46,Lightly Active,1955.94,1955.94,Low Calorie
